property,network_1,network_2,marabou result,marabou_time,nnenum_time,eran_time,priority_time_stopfreq1,priority_time_stopfreq5,priority_time_stopfreq10
1,4,5,unsat,45.58258,27.88889009,23.71473932,0.190591521,,
1,4,6,unsat,500.416896,84.34902771,110.9629898,1.679923767,,
1,4,7,unsat,578.333248,52.67419789,193.8959472,3.52939115,,
1,4,8,unsat,413.684064,35.66754977,67.26027966,1.151849288,,
1,4,9,TIMEOUT,1118.929664,98.85823189,162.0937631,8.273681099,,
1,5,1,unsat,16.678299,9.034535035,8.983825684,0.111240495,,
1,5,2,unsat,16.060333,14.3249284,10.6715343,0.104496605,,
1,5,3,unsat,10.925417,6.889688671,6.766555071,0.03738384,,
1,5,4,unsat,11.786571,5.491080903,7.674080372,0.05970591,,
1,5,5,unsat,41.356576,13.67034259,23.2208941,0.180867096,,
1,5,6,unsat,153.387456,32.05301534,42.99931049,0.868712407,,
1,5,7,unsat,123.929528,24.08116521,38.15502882,0.900997283,,
1,5,8,unsat,447.632768,31.0920893,85.61644435,1.693052515,,
1,5,9,unsat,227.29064,49.16963668,58.02835917,1.369130616,,
2,1,1,unsat,119.017272,4.52427892,85.57575703,30.63269901,,
2,1,2,sat,221.901344,0.986994855,140.0952506,23.03445631,,
2,1,3,sat,9.787646,4.603700757,210.134196,39.53380241,,
2,1,4,sat,11.982143,1.3625856,380.0434523,11.55600577,,
2,1,5,sat,368.430656,0.887416262,491.6980722,22.06315185,,
2,1,6,sat,457.519776,4.727629352,144.0446258,2.806142018,,
2,1,7,unsat,129.388936,10.87655498,56.88005877,43.66605439,,
2,1,8,unsat,377.139264,16.94737328,150.6727872,28.71788282,,
2,1,9,unsat,214.384976,9.248808824,59.30640054,47.02369807,,
2,2,1,sat,16.876778,0.449404385,40.1736536,0.495908076,,
2,2,2,sat,25.334744,0.087553278,38.71487546,0.53148438,,
2,2,3,sat,29.077036,0.039547678,53.71790361,0.012350724,,
2,2,4,sat,13.453129,0.067827709,42.87040091,0.388628639,,
2,2,5,sat,45.3676,0.036246497,39.28106236,0.012686734,,
2,2,6,sat,33.601792,0.038096327,209.917908,0.013055149,,
2,2,7,sat,439.48304,0.039248049,392.9778097,0.01364627,,
2,2,8,sat,56.967824,0.035009623,69.32419872,0.013804759,,
2,2,9,sat,78.622688,35.64870756,77.78255939,18.61746143,,
2,3,1,sat,12.7341,0.039073858,38.76597667,0.00955199,,
2,3,2,sat,16.417719,9.813001253,672.8141935,0.467571599,,
2,3,3,TIMEOUT,99999999,140.5285805,1781.371203,99999999,,
2,3,4,sat,823.450816,0.038233228,648.1317048,0.010073989,,
2,3,5,sat,20.986672,0.037998848,35.63148999,0.012249327,,
2,3,6,sat,95.08844,0.298932996,108.3098891,0.865992071,,
2,3,7,sat,391.553568,3.157973628,103.7567112,0.624170171,,
2,3,8,sat,91.158464,0.187014289,69.31060219,0.541541245,,
2,3,9,sat,31.11859,0.039701845,46.76875567,0.012823118,,
2,4,1,sat,27.674508,0.09672191,75.22655535,0.458628495,,
2,4,2,TIMEOUT,99999999,131.7569774,99999999,99999999,,
2,4,3,sat,11.470402,0.038740832,16.96428394,0.010125397,,
2,4,4,sat,7.260184,0.209546022,21.22823787,0.411479543,,
2,4,5,sat,38.851336,0.040086802,108.7334785,0.013874785,,
2,4,6,sat,260.207488,0.040951677,173.476511,0.013806676,,
2,4,7,sat,26.443264,0.040847652,61.78609776,0.014021946,,
2,4,8,sat,100.611176,0.042723648,47.16501451,0.014643188,,
2,4,9,TIMEOUT,99999999,44.02052191,764.7828548,79.09875645,,
2,5,1,sat,15.458968,0.040605016,17.60144472,0.018291319,,
2,5,2,sat,19.12848,0.028338954,29.2414341,0.017065247,,
