property,network_1,network_2,eager_time,noneager_time,obtuse_polytope_time,virtual_best,,,,,,,
3,2,1,0.102225607,0.733349127,1.671257413,0.102225607,,,,,,,
3,2,2,0.53919502,2.165460691,2.292343878,0.53919502,,,,,,,
3,2,3,0.065756063,0.892785413,0.120510388,0.065756063,,,,,,,
3,2,4,0.000420156,0.003183859,0.000441057,0.000420156,,,,,,,
3,2,5,0.001568271,0.023789923,0.001620678,0.001568271,,,,,,,
3,2,6,0.000753148,0.008783476,0.000775831,0.000753148,,,,,,,
3,2,7,0.001388681,0.016324983,0.001484403,0.001388681,,,,,,,
3,2,8,0.001784379,0.01922526,0.001854859,0.001784379,,,,,,,
3,2,9,0.000157567,0.000177685,0.000161092,0.000157567,,,,,,,
3,3,1,0.007291603,0.20162063,0.06124297,0.007291603,,,,,,,
3,3,2,0.528661881,6.470794485,7.73170306,0.528661881,,,,,,,
3,3,3,0.115454413,2.042050212,0.150042653,0.115454413,,,,,,,
3,3,4,0.009495209,0.072827426,0.005145227,0.005145227,,,,,,,
3,3,5,0.000853914,0.013597709,0.001023708,0.000853914,,,,,,,
3,3,6,0.003004977,0.050081105,0.003814431,0.003004977,,,,,,,
3,3,7,0.000417188,0.004510909,0.000479055,0.000417188,,,,,,,
3,3,8,0.001740705,0.023730876,0.001987755,0.001740705,,,,,,,
3,3,9,0.001930415,0.085002479,0.002628151,0.001930415,,,,,,,
3,4,1,0.17338089,2.12697294,3.94233015,0.17338089,,,,,,,
3,4,2,0.421461397,6.332333534,373.549131,0.421461397,,,,,,,
3,4,3,0.212721206,2.223991645,0.883683751,0.212721206,,,,,,,
3,4,4,0.001161994,0.011051493,0.0011107,0.0011107,,,,,,,
3,4,5,0.000865573,0.007649479,0.000804402,0.000804402,,,,,,,
3,4,6,0.015332131,0.111254538,0.010284397,0.010284397,,,,,,,
3,4,7,0.002374295,0.027328948,0.00237208,0.00237208,,,,,,,
3,4,8,0.001199419,0.011842241,0.001176957,0.001176957,,,,,,,
3,4,9,0.00487166,0.052463713,0.004668896,0.004668896,,,,,,,
